Year,Artist,Song,Peak_Pos_That_Year,Full_Release_Year
1992,TLC,Baby-Baby-Baby,2,1992-06-03
1992,Wreckx-N-Effect,Rump Shaker,2,1992-09-30
1992,Atlantic Starr,Masterpiece,3,1992-01-29
1992,Bobby Brown,Humpin' Around,3,1992-08-05
1992,Guns N' Roses,November Rain,3,1992-06-24
1992,House Of Pain,Jump Around,3,1992-06-24
1992,Madonna,Erotica,3,1992-10-14
1992,Michael Jackson,Remember The Time,3,1992-01-22
1992,P.M. Dawn,"I'd Die Without You (From ""Boomerang"")",3,1992-09-09
1992,Prince And The N.P.G.,Diamonds And Pearls,3,1992-01-01
1992,Billy Ray Cyrus,Achy Breaky Heart,4,1992-05-06
1992,Boyz II Men,"In The Still Of The Nite (From ""The Jacksons"")",4,1992-11-25
1992,Celine Dion,If You Asked Me To,4,1992-04-22
1992,Joe Public,Live And Learn,4,1992-03-11
1992,Shakespear's Sister,Stay,4,1992-07-01
1992,CeCe Peniston,Finally,5,1992-01-01
1992,Hi-Five,She's Playing Hard To Get,5,1992-07-29
1992,Jon Secada,Just Another Day,5,1992-04-15
1992,M.C. Hammer,2 Legit 2 Quit,5,1992-01-01
1992,Mariah Carey,Make It Happen,5,1992-02-19
1992,P.M. Dawn,Set Adrift On Memory Bliss,5,1992-01-01
1992,Snap!,Rhythm Is A Dancer,5,1992-08-12
1992,Sophie B. Hawkins,Damn I Wish I Was Your Lover,5,1992-04-15
1992,Arrested Development,Tennessee,6,1992-04-08
1992,En Vogue,Giving Him Something He Can Feel,6,1992-06-03
1992,K.W.S.,Please Don't Go,6,1992-06-17
1992,Michael Jackson,In The Closet,6,1992-04-22
1992,Mint Condition,Breakin' My Heart (Pretty Brown Eyes),6,1992-01-01
1992,Nirvana,Smells Like Teen Spirit,6,1992-01-01
1992,TLC,Ain't 2 Proud 2 Beg,6,1992-02-19
1992,Technotronic Featuring Ya Kid K,Move This,6,1992-06-10
1992,Tevin Campbell,Tell Me What You Want Me To Do,6,1992-01-01
1992,Tom Cochrane,Life Is A Highway,6,1992-05-13
1992,Bobby Brown,Good Enough,7,1992-10-14
1992,Genesis,I Can't Dance,7,1992-01-29
1992,M.C. Hammer,Addams Groove,7,1992-01-01
1992,Mary J. Blige,Real Love,7,1992-08-26
1992,Michael Bolton,When A Man Loves A Woman,7,1992-01-01
1992,Shanice,"""Saving Forever For You (From ""Beverly Hills, 90210"")""",7,1992-10-21
1992,TLC,What About Your Friends,7,1992-09-02
1992,Amy Grant,Good For Me,8,1992-01-15
1992,Arrested Development,People Everyday,8,1992-08-12
1992,En Vogue,Free Your Mind,8,1992-09-09
1992,Firehouse,When I Look Into Your Eyes,8,1992-08-12
1992,Celine Dion And Peabo Bryson,Beauty And The Beast,9,1992-01-15
